date,year,month,day,population,tot_case,Dose1_Complete,Series_Complete
2020-12-14,2020,12,14,334735155,16304033,0,0
2020-12-15,2020,12,15,334735155,16501573,0,0
2020-12-16,2020,12,16,334735155,16738710,0,0
2020-12-17,2020,12,17,334735155,16981259,0,0
2020-12-18,2020,12,18,334735155,17214931,0,0
2020-12-19,2020,12,19,334735155,17415285,0,0
2020-12-20,2020,12,20,334735155,17598639,0,0
2020-12-21,2020,12,21,334735155,17779161,0,0
2020-12-22,2020,12,22,334735155,17975159,0,0
2020-12-23,2020,12,23,334735155,18196678,0,0
2020-12-24,2020,12,24,334735155,18394415,0,0
2020-12-25,2020,12,25,334735155,18549281,0,0
2020-12-26,2020,12,26,334735155,18695755,0,0
2020-12-27,2020,12,27,334735155,18848939,0,0
2020-12-28,2020,12,28,334735155,19023025,0,0
2020-12-29,2020,12,29,334735155,19228493,0,0
2020-12-30,2020,12,30,334735155,19459729,0,0
2020-12-31,2020,12,31,334735155,19683746,0,0
2021-01-01,2021,1,1,334735155,19905300,0,0
2021-01-02,2021,1,2,334735155,20128221,0,0
2021-01-03,2021,1,3,334735155,20330856,0,0
2021-01-04,2021,1,4,334735155,20500907,0,0
2021-01-05,2021,1,5,334735155,20740208,0,0
2021-01-06,2021,1,6,334735155,20991715,0,0
2021-01-07,2021,1,7,334735155,21254337,0,0
2021-01-08,2021,1,8,334735155,21540707,0,0
2021-01-09,2021,1,9,334735155,21790073,0,0
2021-01-10,2021,1,10,334735155,22008614,0,0
2021-01-11,2021,1,11,334735155,22208499,0,0
2021-01-12,2021,1,12,334735155,22422310,0,0
2021-01-13,2021,1,13,334735155,22643257,0,0
2021-01-14,2021,1,14,334735155,22860650,0,0
2021-01-15,2021,1,15,334735155,23094344,0,0
2021-01-16,2021,1,16,334735155,23301256,0,0
2021-01-17,2021,1,17,334735155,23479673,0,0
2021-01-18,2021,1,18,334735155,23626920,0,0
2021-01-19,2021,1,19,334735155,23773490,0,0
2021-01-20,2021,1,20,334735155,23955847,0,0
2021-01-21,2021,1,21,334735155,24137932,0,0
2021-01-22,2021,1,22,334735155,24322920,0,0
2021-01-23,2021,1,23,334735155,24481882,0,0
2021-01-24,2021,1,24,334735155,24620367,0,0
2021-01-25,2021,1,25,334735155,24750345,0,0
2021-01-26,2021,1,26,334735155,24893304,0,0
2021-01-27,2021,1,27,334735155,25045581,0,0
2021-01-28,2021,1,28,334735155,25196023,0,0
2021-01-29,2021,1,29,334735155,25354582,0,0
2021-01-30,2021,1,30,334735155,25486511,0,0
2021-01-31,2021,1,31,334735155,25594350,0,0
2021-02-01,2021,2,1,334735155,25719658,0,0
2021-02-02,2021,2,2,334735155,25837852,0,0
2021-02-03,2021,2,3,334735155,25945164,0,0
2021-02-04,2021,2,4,334735155,26067367,0,0
2021-02-05,2021,2,5,334735155,26186091,0,0
2021-02-06,2021,2,6,334735155,26288947,0,0
2021-02-07,2021,2,7,334735155,26375653,0,0
2021-02-08,2021,2,8,334735155,26454072,0,0
2021-02-09,2021,2,9,334735155,26543249,0,0
2021-02-10,2021,2,10,334735155,26636777,0,0
2021-02-11,2021,2,11,334735155,26731459,0,0
2021-02-12,2021,2,12,334735155,26824545,0,0
2021-02-13,2021,2,13,334735155,26905094,32136134,0
2021-02-14,2021,2,14,334735155,26967672,33221642,0
2021-02-15,2021,2,15,334735155,27023026,33949089,0
2021-02-16,2021,2,16,334735155,27077785,34457512,0
2021-02-17,2021,2,17,334735155,27138165,35006155,0
2021-02-18,2021,2,18,334735155,27202032,35703558,0
2021-02-19,2021,2,19,334735155,27271299,41706892,0
2021-02-20,2021,2,20,334735155,27334618,42533302,0
2021-02-21,2021,2,21,334735155,27386310,43348175,0
2021-02-22,2021,2,22,334735155,27439337,43852272,0
2021-02-23,2021,2,23,334735155,27506886,44257320,0
2021-02-24,2021,2,24,334735155,27575065,44944716,0
2021-02-25,2021,2,25,334735155,27642388,45630709,0
2021-02-26,2021,2,26,334735155,27711496,46734250,0
2021-02-27,2021,2,27,334735155,27775134,47972868,0
2021-02-28,2021,2,28,334735155,27823044,49298326,0
2021-03-01,2021,3,1,334735155,27871567,50252375,0
2021-03-02,2021,3,2,334735155,27922966,51272047,0
2021-03-03,2021,3,3,334735155,27984050,52363301,0
2021-03-04,2021,3,4,334735155,28045421,53532966,0
2021-03-05,2021,3,5,334735155,28105262,55034308,28477409
2021-03-06,2021,3,6,334735155,28158803,56835462,29577576
2021-03-07,2021,3,7,334735155,28198539,58339020,30544213
2021-03-08,2021,3,8,334735155,28239170,59464135,31244005
2021-03-09,2021,3,9,334735155,28290245,60480773,31810384
2021-03-10,2021,3,10,334735155,28347817,61833537,32606666
2021-03-11,2021,3,11,334735155,28403583,63442414,33557411
2021-03-12,2021,3,12,334735155,28463553,65321785,34686610
2021-03-13,2021,3,13,334735155,28511836,68229573,36600681
2021-03-14,2021,3,14,334735155,28555181,69128852,37128990
2021-03-15,2021,3,15,334735155,28595917,70392957,37987651
2021-03-16,2021,3,16,334735155,28645156,71466459,38689887
2021-03-17,2021,3,17,334735155,28702343,72989605,39629859
2021-03-18,2021,3,18,334735155,28761013,74800995,40614160
2021-03-19,2021,3,19,334735155,28819045,76520359,41557787
2021-03-20,2021,3,20,334735155,28873523,78641818,42650005
2021-03-21,2021,3,21,334735155,28914842,80676197,43745962
2021-03-22,2021,3,22,334735155,28960287,82021701,44508871
2021-03-23,2021,3,23,334735155,29015358,83175470,45129023
2021-03-24,2021,3,24,334735155,29078674,84707876,45953202
2021-03-25,2021,3,25,334735155,29140289,86565991,46999022
2021-03-26,2021,3,26,334735155,29210881,88753902,48257642
2021-03-27,2021,3,27,334735155,29269285,90887271,49693625
2021-03-28,2021,3,28,334735155,29318284,92793897,51134772
2021-03-29,2021,3,29,334735155,29373688,94168113,52147042
2021-03-30,2021,3,30,334735155,29432992,95188968,52950989
2021-03-31,2021,3,31,334735155,29499200,96725200,54124266
2021-04-01,2021,4,1,334735155,29569316,98682842,55596039
2021-04-02,2021,4,2,334735155,29636194,100907167,57480496
2021-04-03,2021,4,3,334735155,29696387,103296941,59343871
2021-04-04,2021,4,4,334735155,29738632,105289215,60895500
2021-04-05,2021,4,5,334735155,29792972,106586009,61866848
2021-04-06,2021,4,6,334735155,29855101,107353907,62482518
2021-04-07,2021,4,7,334735155,29926913,109033142,63876708
2021-04-08,2021,4,8,334735155,29999429,111065498,65643616
2021-04-09,2021,4,9,334735155,30073380,113437465,67630682
2021-04-10,2021,4,10,334735155,30138884,116121978,70107079
2021-04-11,2021,4,11,334735155,30190046,118196847,72032048
2021-04-12,2021,4,12,334735155,30249761,119792065,73456590
2021-04-13,2021,4,13,334735155,30319739,121228024,74703966
2021-04-14,2021,4,14,334735155,30388329,122836035,76049287
2021-04-15,2021,4,15,334735155,30458489,124722214,77851409
2021-04-16,2021,4,16,334735155,30527832,126627232,79951262
2021-04-17,2021,4,17,334735155,30603666,128363011,81800034
2021-04-18,2021,4,18,334735155,30651287,130103249,83582556
2021-04-19,2021,4,19,334735155,30685600,131167281,84674745
2021-04-20,2021,4,20,334735155,30741906,132106065,85526302
2021-04-21,2021,4,21,334735155,30803732,133274489,86885791
2021-04-22,2021,4,22,334735155,30864532,134607786,88527528
2021-04-23,2021,4,23,334735155,30925675,136037236,90446771
2021-04-24,2021,4,24,334735155,30976234,137433337,92334875
2021-04-25,2021,4,25,334735155,31016025,138750324,94015400
2021-04-26,2021,4,26,334735155,31045758,139734550,95123790
2021-04-27,2021,4,27,334735155,31095226,140507644,95974936
2021-04-28,2021,4,28,334735155,31148832,141439420,97262339
2021-04-29,2021,4,29,334735155,31203631,142527177,98873403
2021-04-30,2021,4,30,334735155,31257718,143614873,100599808
2021-05-01,2021,5,1,334735155,31305015,144953663,102608137
2021-05-02,2021,5,2,334735155,31340635,145747540,103946630
2021-05-03,2021,5,3,334735155,31373112,146209455,104684361
2021-05-04,2021,5,4,334735155,31415091,146576488,105317254
2021-05-05,2021,5,5,334735155,31459061,147236156,106485349
2021-05-06,2021,5,6,334735155,31501231,148119205,108061811
2021-05-07,2021,5,7,334735155,31545178,149063766,109980958
2021-05-08,2021,5,8,334735155,31581287,149948644,111715786
2021-05-09,2021,5,9,334735155,31607899,150739774,113331287
2021-05-10,2021,5,10,334735155,31632017,151434753,114594674
2021-05-11,2021,5,11,334735155,31664713,152059778,115635449
2021-05-12,2021,5,12,334735155,31699987,152589723,116697528
2021-05-13,2021,5,13,334735155,31739819,153231749,118034068
2021-05-14,2021,5,14,334735155,31774600,153851590,119294857
2021-05-15,2021,5,15,334735155,31803760,154807404,120792461
2021-05-16,2021,5,16,334735155,31824599,155712604,122010817
2021-05-17,2021,5,17,334735155,31843784,156401902,122833330
2021-05-18,2021,5,18,334735155,31871248,156938274,123458952
2021-05-19,2021,5,19,334735155,31898480,157734155,124443039
2021-05-20,2021,5,20,334735155,31925989,158722720,125581782
2021-05-21,2021,5,21,334735155,31953607,159809629,126742967
2021-05-22,2021,5,22,334735155,31975395,160985733,127958870
2021-05-23,2021,5,23,334735155,31990923,161811731,128952944
2021-05-24,2021,5,24,334735155,32005951,162398234,129547468
2021-05-25,2021,5,25,334735155,32030058,162861827,130004189
2021-05-26,2021,5,26,334735155,32053258,163549225,130766364
2021-05-27,2021,5,27,334735155,32075068,164183223,131676910
2021-05-28,2021,5,28,334735155,32099603,164842994,132428805
2021-05-29,2021,5,29,334735155,32114973,165605607,133306846
2021-05-30,2021,5,30,334735155,32127079,166178125,133970982
2021-05-31,2021,5,31,334735155,32136240,166668285,134474469
2021-06-01,2021,6,1,334735155,32145178,166929515,134747700
2021-06-02,2021,6,2,334735155,32161231,167171018,135032891
2021-06-03,2021,6,3,334735155,32179299,167517881,135514299
2021-06-04,2021,6,4,334735155,32197726,168154558,136316230
2021-06-05,2021,6,5,334735155,32212239,168682929,136965574
2021-06-06,2021,6,6,334735155,32222972,169240800,137819539
2021-06-07,2021,6,7,334735155,32232712,169707484,138588936
2021-06-08,2021,6,8,334735155,32246650,170122445,139277074
2021-06-09,2021,6,9,334735155,32266279,170439380,139808342
2021-06-10,2021,6,10,334735155,32281817,170803058,140405366
2021-06-11,2021,6,11,334735155,32295788,171136649,140916642
2021-06-12,2021,6,12,334735155,32307994,171763679,141932606
2021-06-13,2021,6,13,334735155,32316575,172204804,142724161
2021-06-14,2021,6,14,334735155,32324722,172591400,143711068
2021-06-15,2021,6,15,334735155,32337362,173020692,144546645
2021-06-16,2021,6,16,334735155,32350329,173397798,145232299
2021-06-17,2021,6,17,334735155,32363587,174199455,146516807
2021-06-18,2021,6,18,334735155,32375369,174614870,147208276
2021-06-19,2021,6,19,334735155,32387598,175054287,147863712
2021-06-20,2021,6,20,334735155,32396536,175401155,148400898
2021-06-21,2021,6,21,334735155,32405088,175651757,148774303
2021-06-22,2021,6,22,334735155,32418324,175940559,149150137
2021-06-23,2021,6,23,334735155,32431963,176249822,149507299
2021-06-24,2021,6,24,334735155,32447335,176626569,149964192
2021-06-25,2021,6,25,334735155,32462250,176778162,150317535
2021-06-26,2021,6,26,334735155,32475310,177155393,150879766
2021-06-27,2021,6,27,334735155,32485752,177541374,151721699
2021-06-28,2021,6,28,334735155,32496190,177886142,152456671
2021-06-29,2021,6,29,334735155,32511654,178207423,152875809
2021-06-30,2021,6,30,334735155,32523068,178935985,153555255
2021-07-01,2021,7,1,334735155,32541563,179593914,154548520
2021-07-02,2021,7,2,334735155,32558327,179900085,154913680
2021-07-03,2021,7,3,334735155,32571384,180354166,155635057
2021-07-04,2021,7,4,334735155,32581691,180653924,155973683
2021-07-05,2021,7,5,334735155,32590788,180846030,156172109
2021-07-06,2021,7,6,334735155,32610679,180951628,156282734
2021-07-07,2021,7,7,334735155,32632864,181131485,156552611
2021-07-08,2021,7,8,334735155,32816151,181468786,156928145
2021-07-09,2021,7,9,334735155,32843434,181770791,157265560
2021-07-10,2021,7,10,334735155,32863889,182061605,157587659
2021-07-11,2021,7,11,334735155,32880159,182354102,157896395
2021-07-12,2021,7,12,334735155,32909002,182582919,158125535
2021-07-13,2021,7,13,334735155,32943628,182758735,158298988
2021-07-14,2021,7,14,334735155,32981784,183045856,158746687
2021-07-15,2021,7,15,334735155,33021947,183342303,159025099
2021-07-16,2021,7,16,334735155,33063813,183621964,159293970
2021-07-17,2021,7,17,334735155,33095580,183957592,159597365
2021-07-18,2021,7,18,334735155,33123350,184226749,159832676
2021-07-19,2021,7,19,334735155,33167932,184502425,160071146
2021-07-20,2021,7,20,334735155,33218487,184677679,160238508
2021-07-21,2021,7,21,334735155,33279284,185011944,160496900
2021-07-22,2021,7,22,334735155,33350307,185403441,160771855
2021-07-23,2021,7,23,334735155,33419392,185760654,161028249
2021-07-24,2021,7,24,334735155,33472479,186159154,161315241
2021-07-25,2021,7,25,334735155,33515030,186642584,161610871
2021-07-26,2021,7,26,334735155,33585464,186897026,161756827
2021-07-27,2021,7,27,334735155,33670525,187162286,161895093
2021-07-28,2021,7,28,334735155,33758705,187656546,162168651
2021-07-29,2021,7,29,334735155,33857163,188096631,162441209
2021-07-30,2021,7,30,334735155,33961209,188653027,162752635
2021-07-31,2021,7,31,334735155,34041150,189117712,163010391
2021-08-01,2021,8,1,334735155,34101761,189629347,163317848
2021-08-02,2021,8,2,334735155,34202733,189943534,163477170
2021-08-03,2021,8,3,334735155,34312049,190243688,163638123
2021-08-04,2021,8,4,334735155,34438038,190725795,163886020
2021-08-05,2021,8,5,334735155,34565054,191305337,164185416
2021-08-06,2021,8,6,334735155,34697663,191864101,164462796
2021-08-07,2021,8,7,334735155,34816818,192438927,164743794
2021-08-08,2021,8,8,334735155,34912650,192953325,165015515
2021-08-09,2021,8,9,334735155,35004899,193302746,165190125
2021-08-10,2021,8,10,334735155,35138183,193721164,165394928
2021-08-11,2021,8,11,334735155,35280787,194145509,165634197
2021-08-12,2021,8,12,334735155,35431215,194566702,165879590
2021-08-13,2021,8,13,334735155,35576558,195135727,166220196
2021-08-14,2021,8,14,334735155,35715372,195731480,166607810
2021-08-15,2021,8,15,334735155,35824842,196129678,166876116
2021-08-16,2021,8,16,334735155,35932772,196628484,167199210
2021-08-17,2021,8,17,334735155,36081542,196956606,167403618
2021-08-18,2021,8,18,334735155,36247970,197346978,167688236
2021-08-19,2021,8,19,334735155,36421933,197901490,168089988
2021-08-20,2021,8,20,334735155,36588662,198429244,168491820
2021-08-21,2021,8,21,334735155,36732124,198947007,168894007
2021-08-22,2021,8,22,334735155,36858160,199420198,169305500
2021-08-23,2021,8,23,334735155,36973007,199707016,169568829
